Key,Title,Side Effects,% of Side Effects, Labels,% of Labels,ParentKey,Url
A02BC34,"Omeprazole",250,4.25,126,0.42,nd32,http://sideeffects.embl.de/drugs/4594
A02BC35,"Pantoprazole",323,5.49,146,0.48,nd32,http://sideeffects.embl.de/drugs/4679
A02BC36,"Rabeprazole",285,4.85,38,0.13,nd32,http://sideeffects.embl.de/drugs/5029
nd37,"A03 - DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS",457,7.77,316,1.04,nd0,
nd38,"A03A - DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS",289,4.91,135,0.45,nd37,
nd39,"A03AA - Synthetic anticholinergics, esters with tertiary amino group",88,1.5,62,0.2,nd38,
A03AA40,"Dicyclomine",87,1.48,59,0.2,nd39,http://sideeffects.embl.de/drugs/3042
A03AA41,"Mebeverine",14,0.24,3,0.01,nd39,http://sideeffects.embl.de/drugs/4031
nd42,"A03AB - Synthetic anticholinergics, quaternary ammonium compounds",111,1.89,45,0.15,nd38,
A03AB43,"Cantril",26,0.44,4,0.01,nd42,http://sideeffects.embl.de/drugs/4057
A03AB44,"Glycopyrrolate",105,1.79,39,0.13,nd42,http://sideeffects.embl.de/drugs/3494
A03AB45,"Propantheline",32,0.54,2,0.01,nd42,http://sideeffects.embl.de/drugs/4934
nd46,"A03AD - Papaverine and derivatives",14,0.24,1,0.0,nd38,
A03AD47,"Papaverine",14,0.24,1,0.0,nd46,http://sideeffects.embl.de/drugs/4680
nd48,"A03AE - Serotonin receptor antagonists",191,3.25,25,0.08,nd38,
A03AE49,"Alosetron",105,1.79,8,0.03,nd48,http://sideeffects.embl.de/drugs/2099
A03AE50,"Prucalopride",38,0.65,2,0.01,nd48,http://sideeffects.embl.de/drugs/3052762
A03AE51,"Tegaserod",109,1.85,15,0.05,nd48,http://sideeffects.embl.de/drugs/5487301
nd52,"A03AX - Other drugs for functional gastrointestinal disorders",12,0.2,2,0.01,nd38,
A03AX53,"Pinaverium bromide",12,0.2,2,0.01,nd52,http://sideeffects.embl.de/drugs/40703
nd54,"A03B - BELLADONNA AND DERIVATIVES, PLAIN",195,3.32,97,0.32,nd37,
nd55,"A03BA - Belladonna alkaloids, tertiary amines",178,3.03,85,0.28,nd54,
A03BA56,"Atropine",178,3.03,85,0.28,nd55,http://sideeffects.embl.de/drugs/3661
nd57,"A03BB - Belladonna alkaloids, semisynthetic, quaternary ammonium compounds",51,0.87,12,0.04,nd54,
A03BB58,"Buscopan",34,0.58,4,0.01,nd57,http://sideeffects.embl.de/drugs/3636
A03BB59,"N-methylscopolamine",25,0.43,8,0.03,nd57,http://sideeffects.embl.de/drugs/4120
nd60,"A03F - PROPULSIVES",131,2.23,84,0.28,nd37,
nd61,"A03FA - Propulsives",131,2.23,84,0.28,nd60,
A03FA62,"Domperidone",42,0.71,10,0.03,nd61,http://sideeffects.embl.de/drugs/3151
A03FA63,"Metoclopramide",106,1.8,74,0.24,nd61,http://sideeffects.embl.de/drugs/4168
nd64,"A04 - ANTIEMETICS AND ANTINAUSEANTS",466,7.93,334,1.1,nd0,
nd65,"A04A - ANTIEMETICS AND ANTINAUSEANTS",466,7.93,334,1.1,nd64,
nd66,"A04AA - Serotonin (5HT3) antagonists",285,4.85,275,0.91,nd65,
A04AA67,"Dolasetron",124,2.11,13,0.04,nd66,http://sideeffects.embl.de/drugs/3148
A04AA68,"Granisetron",112,1.9,40,0.13,nd66,http://sideeffects.embl.de/drugs/3510
A04AA69,"Ondansetron",110,1.87,212,0.7,nd66,http://sideeffects.embl.de/drugs/4595
A04AA70,"Palonosetron",118,2.01,8,0.03,nd66,http://sideeffects.embl.de/drugs/148211
A04AA71,"Tropisetron",29,0.49,2,0.01,nd66,http://sideeffects.embl.de/drugs/5595
nd72,"A04AD - Other antiemetics",312,5.31,59,0.2,nd65,
A04AD73,"Aprepitant",207,3.52,38,0.13,nd72,http://sideeffects.embl.de/drugs/151165
A04AD74,"Delta 9-THC",46,0.78,9,0.03,nd72,http://sideeffects.embl.de/drugs/2978
A04AD75,"Nabilone",127,2.16,7,0.02,nd72,http://sideeffects.embl.de/drugs/39860
A04AD76,"Scopolamine",74,1.26,5,0.02,nd72,http://sideeffects.embl.de/drugs/5184
nd77,"A05 - BILE AND LIVER THERAPY",207,3.52,37,0.12,nd0,
nd78,"A05A - BILE THERAPY",207,3.52,37,0.12,nd77,
nd79,"A05AA - Bile acid preparations",207,3.52,37,0.12,nd78,
A05AA80,"Bile salt",14,0.24,2,0.01,nd79,http://sideeffects.embl.de/drugs/303
A05AA81,"UDCA",203,3.45,35,0.12,nd79,http://sideeffects.embl.de/drugs/5645
nd82,"A06 - DRUGS FOR CONSTIPATION",317,5.39,117,0.39,nd0,
nd83,"A06A - DRUGS FOR CONSTIPATION",317,5.39,117,0.39,nd82,
nd84,"A06AB - Contact laxatives",23,0.39,4,0.01,nd83,
A06AB85,"Bisacodyl",23,0.39,4,0.01,nd84,http://sideeffects.embl.de/drugs/2391
nd86,"A06AC - Bulk-forming laxatives",176,2.99,60,0.2,nd83,
A06AC87,"Trazodone",176,2.99,60,0.2,nd86,http://sideeffects.embl.de/drugs/5533
nd88,"A06AD - Osmotically acting laxatives",124,2.11,41,0.14,nd83,
A06AD89,"Lactulose",16,0.27,27,0.09,nd88,http://sideeffects.embl.de/drugs/3872
A06AD90,"Mannitol",115,1.96,14,0.05,nd88,http://sideeffects.embl.de/drugs/453
nd91,"A06AG - Enemas",140,2.38,19,0.06,nd83,
A06AG92,"Bisacodyl",23,0.39,4,0.01,nd91,http://sideeffects.embl.de/drugs/2391
A06AG93,"Glycerol",24,0.41,1,0.0,nd91,http://sideeffects.embl.de/drugs/753
A06AG94,"Mannitol",115,1.96,14,0.05,nd91,http://sideeffects.embl.de/drugs/453
nd95,"A06AH - Peripheral opioid receptor antagonists",26,0.44,4,0.01,nd83,
A06AH96,"Alvimopan",12,0.2,3,0.01,nd95,http://sideeffects.embl.de/drugs/5488547
A06AH97,"Methylnaltrexone",16,0.27,1,0.0,nd95,http://sideeffects.embl.de/drugs/5361917
nd98,"A06AX - Other drugs for constipation",89,1.51,8,0.03,nd83,
A06AX99,"Glycerol",24,0.41,1,0.0,nd98,http://sideeffects.embl.de/drugs/753
A06AX100,"Lubiprostone",73,1.24,7,0.02,nd98,http://sideeffects.embl.de/drugs/157920
nd101,"A07 - ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS",905,15.39,847,2.8,nd0,
nd102,"A07A - INTESTINAL ANTIINFECTIVES",440,7.48,153,0.51,nd101,
nd103,"A07AA - Antibiotics",420,7.14,146,0.48,nd102,
A07AA104,"Amphotericin B",301,5.12,10,0.03,nd103,http://sideeffects.embl.de/drugs/1972
A07AA105,"Kanamycin",24,0.41,1,0.0,nd103,http://sideeffects.embl.de/drugs/815
A07AA106,"Natamycin",12,0.2,2,0.01,nd103,http://sideeffects.embl.de/drugs/441382
A07AA107,"Neomycin",21,0.36,9,0.03,nd103,http://sideeffects.embl.de/drugs/4454
A07AA108,"Nystatin",21,0.36,52,0.17,nd103,http://sideeffects.embl.de/drugs/4568
A07AA109,"Paromomycin",3,0.05,2,0.01,nd103,http://sideeffects.embl.de/drugs/4689
A07AA110,"Polymyxin B",16,0.27,5,0.02,nd103,http://sideeffects.embl.de/drugs/4868
A07AA111,"Rifaximin",119,2.02,7,0.02,nd103,http://sideeffects.embl.de/drugs/72111
A07AA112,"Streptomycin",23,0.39,2,0.01,nd103,http://sideeffects.embl.de/drugs/5297
A07AA113,"Vancocine",84,1.43,56,0.19,nd103,http://sideeffects.embl.de/drugs/5651
nd114,"A07AC - Imidazole derivatives",57,0.97,7,0.02,nd102,
A07AC115,"Miconazole",57,0.97,7,0.02,nd114,http://sideeffects.embl.de/drugs/4189
nd116,"A07D - ANTIPROPULSIVES",42,0.71,41,0.14,nd101,
nd117,"A07DA - Antipropulsives",42,0.71,41,0.14,nd116,
A07DA118,"Loperamide",42,0.71,41,0.14,nd117,http://sideeffects.embl.de/drugs/3954
nd119,"A07E - INTESTINAL ANTIINFLAMMATORY AGENTS",729,12.4,626,2.07,nd101,
nd120,"A07EA - Corticosteroids acting locally",438,7.45,510,1.69,nd119,
A07EA121,"Beclomethasone dipropionate",39,0.66,5,0.02,nd120,http://sideeffects.embl.de/drugs/2307
A07EA122,"Budesonide",206,3.5,71,0.23,nd120,http://sideeffects.embl.de/drugs/2462
A07EA123,"Cortisol",197,3.35,113,0.37,nd120,http://sideeffects.embl.de/drugs/3640
A07EA124,"Dexamethasone",215,3.66,124,0.41,nd120,http://sideeffects.embl.de/drugs/3003
A07EA125,"Prednisolone",109,1.85,48,0.16,nd120,http://sideeffects.embl.de/drugs/4894
A07EA126,"Prednisone",219,3.72,149,0.49,nd120,http://sideeffects.embl.de/drugs/4900
nd127,"A07EB - Antiallergic agents, excl. corticosteroids",99,1.68,20,0.07,nd119,
A07EB128,"Sodium cromoglycate",99,1.68,20,0.07,nd127,http://sideeffects.embl.de/drugs/2881
nd129,"A07EC - Aminosalicylic acid and similar agents",430,7.31,96,0.32,nd119,
A07EC130,"5-ASA",347,5.9,58,0.19,nd129,http://sideeffects.embl.de/drugs/4075
A07EC131,"Balsalazide",79,1.34,11,0.04,nd129,http://sideeffects.embl.de/drugs/5362070
A07EC132,"Olsalazine",116,1.97,4,0.01,nd129,http://sideeffects.embl.de/drugs/5462337
A07EC133,"Sulfasalazine",147,2.5,23,0.08,nd129,http://sideeffects.embl.de/drugs/5353980
nd134,"A07X - OTHER ANTIDIARRHEALS",29,0.49,27,0.09,nd101,
nd135,"A07XA - Other antidiarrheals",29,0.49,27,0.09,nd134,
A07XA136,"Calcium",29,0.49,27,0.09,nd135,http://sideeffects.embl.de/drugs/271
nd137,"A08 - ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS",441,7.5,147,0.49,nd0,
nd138,"A08A - ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS",441,7.5,147,0.49,nd137,
nd139,"A08AA - Centrally acting antiobesity products",351,5.97,128,0.42,nd138,
A08AA140,"Diethylpropion",52,0.88,28,0.09,nd139,http://sideeffects.embl.de/drugs/7029
A08AA141,"Phentermine",39,0.66,91,0.3,nd139,http://sideeffects.embl.de/drugs/4771
A08AA142,"Phenylpropanolamine",35,0.6,4,0.01,nd139,http://sideeffects.embl.de/drugs/4786
A08AA143,"Sibutramine",315,5.36,5,0.02,nd139,http://sideeffects.embl.de/drugs/5210
nd144,"A08AB - Peripherally acting antiobesity products",142,2.41,17,0.06,nd138,
A08AB145,"Orlistat",142,2.41,17,0.06,nd144,http://sideeffects.embl.de/drugs/4599
nd146,"A08AX - Other antiobesity drugs",67,1.14,2,0.01,nd138,
A08AX147,"Rimonabant",67,1.14,2,0.01,nd146,http://sideeffects.embl.de/drugs/104849
nd148,"A09 - DIGESTIVES, INCL. ENZYMES",66,1.12,20,0.07,nd0,
nd149,"A09A - DIGESTIVES, INCL. ENZYMES",66,1.12,20,0.07,nd148,
nd150,"A09AB - Acid preparations",66,1.12,20,0.07,nd149,
A09AB151,"Betaine",29,0.49,4,0.01,nd150,http://sideeffects.embl.de/drugs/247
A09AB152,"Chloride",20,0.34,6,0.02,nd150,http://sideeffects.embl.de/drugs/312
A09AB153,"Citric acid",25,0.43,10,0.03,nd150,http://sideeffects.embl.de/drugs/311
nd154,"A10 - DRUGS USED IN DIABETES",648,11.02,851,2.81,nd0,
nd155,"A10A - INSULINS AND ANALOGUES",357,6.07,113,0.37,nd154,
nd156,"A10AB - Insulins and analogues for injection, fast-acting",210,3.57,94,0.31,nd155,
A10AB157,"Humalog",51,0.87,33,0.11,nd156,http://sideeffects.embl.de/drugs/16132438
A10AB158,"Insulin",161,2.74,35,0.12,nd156,http://sideeffects.embl.de/drugs/16129672
A10AB159,"NovoLog",111,1.89,26,0.09,nd156,http://sideeffects.embl.de/drugs/16132418
nd160,"A10AC - Insulins and analogues for injection, intermediate-acting",168,2.86,68,0.22,nd155,
A10AC161,"Humalog",51,0.87,33,0.11,nd160,http://sideeffects.embl.de/drugs/16132438
A10AC162,"Insulin",161,2.74,35,0.12,nd160,http://sideeffects.embl.de/drugs/16129672
nd163,"A10AD - Insulins and analogues for injection, intermediate- or long-acting combined with fast-acting",210,3.57,94,0.31,nd155,
A10AD164,"Humalog",51,0.87,33,0.11,nd163,http://sideeffects.embl.de/drugs/16132438
A10AD165,"Insulin",161,2.74,35,0.12,nd163,http://sideeffects.embl.de/drugs/16129672
A10AD166,"NovoLog",111,1.89,26,0.09,nd163,http://sideeffects.embl.de/drugs/16132418
nd167,"A10AE - Insulins and analogues for injection, long-acting",328,5.58,54,0.18,nd155,
A10AE168,"Insulin",161,2.74,35,0.12,nd167,http://sideeffects.embl.de/drugs/16129672
A10AE169,"Insulin detemir",243,4.13,5,0.02,nd167,http://sideeffects.embl.de/drugs/16137271
A10AE170,"Lantus",86,1.46,14,0.05,nd167,http://sideeffects.embl.de/drugs/44146714
nd171,"A10AF - Insulins and analogues for inhalation",161,2.74,35,0.12,nd155,
A10AF172,"Insulin",161,2.74,35,0.12,nd171,http://sideeffects.embl.de/drugs/16129672
nd173,"A10B - BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",487,8.28,738,2.44,nd154,
nd174,"A10BA - Biguanides",119,2.02,239,0.79,nd173,
A10BA175,"Metformin",119,2.02,239,0.79,nd174,http://sideeffects.embl.de/drugs/4091
nd176,"A10BB - Sulfonylureas",293,4.98,258,0.85,nd173,
A10BB177,"Chlorpropamide",31,0.53,2,0.01,nd176,http://sideeffects.embl.de/drugs/2727
A10BB178,"Glibenclamide",86,1.46,64,0.21,nd176,http://sideeffects.embl.de/drugs/3488
A10BB179,"Gliclazide",227,3.86,13,0.04,nd176,http://sideeffects.embl.de/drugs/3475
A10BB180,"Glimepiride",105,1.79,68,0.22,nd176,http://sideeffects.embl.de/drugs/3476
A10BB181,"Glipizide",83,1.41,105,0.35,nd176,http://sideeffects.embl.de/drugs/3478
A10BB182,"Tolazamide",29,0.49,5,0.02,nd176,http://sideeffects.embl.de/drugs/5503
A10BB183,"Tolbutamide",24,0.41,1,0.0,nd176,http://sideeffects.embl.de/drugs/5505
nd184,"A10BF - Alpha glucosidase inhibitors",42,0.71,18,0.06,nd173,
A10BF185,"Acarbose",39,0.66,17,0.06,nd184,http://sideeffects.embl.de/drugs/41774
A10BF186,"Miglitol",21,0.36,1,0.0,nd184,http://sideeffects.embl.de/drugs/51577
nd187,"A10BG - Thiazolidinediones",135,2.3,125,0.41,nd173,
A10BG188,"Pioglitazone",105,1.79,102,0.34,nd187,http://sideeffects.embl.de/drugs/4829
A10BG189,"Rosiglitazone",68,1.16,20,0.07,nd187,http://sideeffects.embl.de/drugs/77998
A10BG190,"Troglitazone",21,0.36,3,0.01,nd187,http://sideeffects.embl.de/drugs/5591
nd191,"A10BH - Dipeptidyl peptidase 4 (DPP-4) inhibitors",145,2.47,23,0.08,nd173,
A10BH192,"Alogliptin",15,0.26,1,0.0,nd191,http://sideeffects.embl.de/drugs/11163584
A10BH193,"Saxagliptin",51,0.87,4,0.01,nd191,http://sideeffects.embl.de/drugs/11235728
A10BH194,"Sitagliptin",113,1.92,14,0.05,nd191,http://sideeffects.embl.de/drugs/4369359
A10BH195,"Vildagliptin",37,0.63,4,0.01,nd191,http://sideeffects.embl.de/drugs/5251896
nd196,"A10BX - Other blood glucose lowering drugs, excl. insulins",162,2.76,75,0.25,nd173,
A10BX197,"Exenatide",104,1.77,7,0.02,nd196,http://sideeffects.embl.de/drugs/16156130
A10BX198,"Liraglutide",57,0.97,2,0.01,nd196,http://sideeffects.embl.de/drugs/16134956
A10BX199,"Nateglinide",38,0.65,20,0.07,nd196,http://sideeffects.embl.de/drugs/4443
A10BX200,"Repaglinide",59,1.0,39,0.13,nd196,http://sideeffects.embl.de/drugs/4547
A10BX201,"Symlin",15,0.26,7,0.02,nd196,http://sideeffects.embl.de/drugs/16132446
nd202,"A11 - VITAMINS",121,2.06,73,0.24,nd0,
nd203,"A11C - VITAMIN A AND D, INCL. COMBINATIONS OF THE TWO",99,1.68,59,0.2,nd202,
nd204,"A11CA - Vitamin A, plain",2,0.03,1,0.0,nd203,
A11CA205,"Retinol",2,0.03,1,0.0,nd204,http://sideeffects.embl.de/drugs/1071
nd206,"A11CC - Vitamin D and analogues",99,1.68,58,0.19,nd203,
A11CC207,"1,25(OH)2D3",87,1.48,31,0.1,nd206,http://sideeffects.embl.de/drugs/2524
A11CC208,"Vitamin D2",23,0.39,27,0.09,nd206,http://sideeffects.embl.de/drugs/3249
nd209,"A11D - VITAMIN B1, PLAIN AND IN COMBINATION WITH VITAMIN B6 AND B12",17,0.29,7,0.02,nd202,
nd210,"A11DA - Vitamin B1, plain",17,0.29,7,0.02,nd209,
A11DA211,"Thiamine",17,0.29,7,0.02,nd210,http://sideeffects.embl.de/drugs/1130
nd212,"A11G - ASCORBIC ACID (VITAMIN C), INCL. COMBINATIONS",3,0.05,3,0.01,nd202,
nd213,"A11GA - Ascorbic acid (vitamin C), plain",3,0.05,3,0.01,nd212,
A11GA214,"Ascorbate",3,0.05,3,0.01,nd213,http://sideeffects.embl.de/drugs/11020241
nd215,"A11H - OTHER PLAIN VITAMIN PREPARATIONS",24,0.41,4,0.01,nd202,
nd216,"A11HA - Other plain vitamin preparations",24,0.41,4,0.01,nd215,
A11HA217,"Dexpanthenol",11,0.19,1,0.0,nd216,http://sideeffects.embl.de/drugs/4678
A11HA218,"Pyridoxine",5,0.09,2,0.01,nd216,http://sideeffects.embl.de/drugs/1054
A11HA219,"TPGS",11,0.19,1,0.0,nd216,http://sideeffects.embl.de/drugs/71406
nd220,"A12 - MINERAL SUPPLEMENTS",69,1.17,68,0.22,nd0,
nd221,"A12A - CALCIUM",59,1.0,51,0.17,nd220,
nd222,"A12AA - Calcium",59,1.0,51,0.17,nd221,
A12AA223,"Calcium",29,0.49,27,0.09,nd222,http://sideeffects.embl.de/drugs/271
A12AA224,"Glucose",37,0.63,24,0.08,nd222,http://sideeffects.embl.de/drugs/206
nd225,"A12B - POTASSIUM",37,0.63,24,0.08,nd220,
nd226,"A12BA - Potassium",37,0.63,24,0.08,nd225,
A12BA227,"Glucose",37,0.63,24,0.08,nd226,http://sideeffects.embl.de/drugs/206
nd228,"A12C - OTHER MINERAL SUPPLEMENTS",50,0.85,41,0.14,nd220,
nd229,"A12CA - Sodium",37,0.63,24,0.08,nd228,
A12CA230,"Glucose",37,0.63,24,0.08,nd229,http://sideeffects.embl.de/drugs/206
nd231,"A12CB - Zinc",2,0.03,1,0.0,nd228,
A12CB232,"Zinc sulfate",2,0.03,1,0.0,nd231,http://sideeffects.embl.de/drugs/24424
nd233,"A12CC - Magnesium",12,0.2,16,0.05,nd228,
A12CC234,"Magnesium",12,0.2,16,0.05,nd233,http://sideeffects.embl.de/drugs/888
nd235,"A14 - ANABOLIC AGENTS FOR SYSTEMIC USE",37,0.63,20,0.07,nd0,
nd236,"A14A - ANABOLIC STEROIDS",37,0.63,20,0.07,nd235,
nd237,"A14AA - Androstan derivatives",36,0.61,18,0.06,nd236,
A14AA238,"Oxandrolone",26,0.44,16,0.05,nd237,http://sideeffects.embl.de/drugs/5878
A14AA239,"Oxymetholone",30,0.51,2,0.01,nd237,http://sideeffects.embl.de/drugs/4638
nd240,"A14AB - Estren derivatives",23,0.39,2,0.01,nd236,
A14AB241,"Nandrolone",23,0.39,2,0.01,nd240,http://sideeffects.embl.de/drugs/9904
nd242,"A16 - OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS",291,4.95,41,0.14,nd0,
nd243,"A16A - OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS",291,4.95,41,0.14,nd242,
nd244,"A16AA - Amino acids and derivatives",187,3.18,25,0.08,nd243,
A16AA245,"Betaine",29,0.49,4,0.01,nd244,http://sideeffects.embl.de/drugs/247
A16AA246,"Carnitine",69,1.17,13,0.04,nd244,http://sideeffects.embl.de/drugs/85
A16AA247,"Cysteamine",79,1.34,5,0.02,nd244,http://sideeffects.embl.de/drugs/6058
A16AA248,"Glutamine",56,0.95,1,0.0,nd244,http://sideeffects.embl.de/drugs/738
A16AA249,"N-carbamylglutamate",32,0.54,2,0.01,nd244,http://sideeffects.embl.de/drugs/121396
nd250,"A16AB - Enzymes",12,0.2,1,0.0,nd243,
A16AB251,"Sacrosidase",12,0.2,1,0.0,nd250,http://sideeffects.embl.de/drugs/135113
nd252,"A16AX - Various alimentary tract and metabolism products",182,3.1,15,0.05,nd243,
A16AX253,"4-PBA",48,0.82,2,0.01,nd252,http://sideeffects.embl.de/drugs/4775
A16AX254,"Miglustat",77,1.31,6,0.02,nd252,http://sideeffects.embl.de/drugs/51634
A16AX255,"NTBC",55,0.94,2,0.01,nd252,http://sideeffects.embl.de/drugs/115355
A16AX256,"Tetrahydrobiopterin",48,0.82,5,0.02,nd252,http://sideeffects.embl.de/drugs/1125
nd257,"B - BLOOD AND BLOOD FORMING ORGANS",902,15.34,799,2.64,null,
nd258,"B01 - ANTITHROMBOTIC AGENTS",640,10.88,529,1.75,nd257,
nd259,"B01A - ANTITHROMBOTIC AGENTS",640,10.88,529,1.75,nd258,
nd260,"B01AA - Vitamin K antagonists",86,1.46,143,0.47,nd259,
B01AA261,"Acenocoumarol",23,0.39,2,0.01,nd260,http://sideeffects.embl.de/drugs/40468184
B01AA262,"Warfarin",77,1.31,141,0.47,nd260,http://sideeffects.embl.de/drugs/5001396
nd263,"B01AB - Heparin group",187,3.18,94,0.31,nd259,
B01AB264,"Dalteparin",163,2.77,42,0.14,nd263,http://sideeffects.embl.de/drugs/9812414
B01AB265,"Heparin",45,0.77,38,0.13,nd263,http://sideeffects.embl.de/drugs/53477714
B01AB266,"LMWH",57,0.97,14,0.05,nd263,http://sideeffects.embl.de/drugs/772
nd267,"B01AC - Platelet aggregation inhibitors excl. heparin",449,7.64,238,0.79,nd259,
B01AC268,"Aspirin",68,1.16,20,0.07,nd267,http://sideeffects.embl.de/drugs/2244
B01AC269,"Clopidogrel",210,3.57,108,0.36,nd267,http://sideeffects.embl.de/drugs/2806
B01AC270,"Dipyridamole",131,2.23,28,0.09,nd267,http://sideeffects.embl.de/drugs/3108
B01AC271,"Eptifibatide",63,1.07,17,0.06,nd267,http://sideeffects.embl.de/drugs/123610
B01AC272,"Iloprost",58,0.99,18,0.06,nd267,http://sideeffects.embl.de/drugs/54313
B01AC273,"Prasugrel",60,1.02,5,0.02,nd267,http://sideeffects.embl.de/drugs/6918456
B01AC274,"Prostacyclin",123,2.09,4,0.01,nd267,http://sideeffects.embl.de/drugs/159
B01AC275,"Ticlopidine",71,1.21,8,0.03,nd267,http://sideeffects.embl.de/drugs/5472
B01AC276,"Tirofiban",29,0.49,7,0.02,nd267,http://sideeffects.embl.de/drugs/5486
B01AC277,"Treprostinil",87,1.48,23,0.08,nd267,http://sideeffects.embl.de/drugs/54786
nd278,"B01AD - Enzymes",45,0.77,3,0.01,nd259,
B01AD279,"Trans 4-cyclohexyl-L-proline",45,0.77,3,0.01,nd278,http://sideeffects.embl.de/drugs/9815559
nd280,"B01AE - Direct thrombin inhibitors",246,4.18,31,0.1,nd259,
B01AE281,"Argatroban",66,1.12,13,0.04,nd280,http://sideeffects.embl.de/drugs/2232
B01AE282,"Bivalirudin",106,1.8,7,0.02,nd280,http://sideeffects.embl.de/drugs/16129704
B01AE283,"Dabigatran etexilate",129,2.19,4,0.01,nd280,http://sideeffects.embl.de/drugs/213023
B01AE284,"Refludan",93,1.58,4,0.01,nd280,http://sideeffects.embl.de/drugs/16132441
B01AE285,"Revasc",52,0.88,3,0.01,nd280,http://sideeffects.embl.de/drugs/16129703
nd286,"B01AX - Other antithrombotic agents",152,2.59,20,0.07,nd259,
B01AX287,"Fondaparinux",95,1.62,17,0.06,nd286,http://sideeffects.embl.de/drugs/123611
B01AX288,"Rivaroxaban",105,1.79,3,0.01,nd286,http://sideeffects.embl.de/drugs/6433119
nd289,"B02 - ANTIHEMORRHAGICS",336,5.71,94,0.31,nd257,
nd290,"B02A - ANTIFIBRINOLYTICS",184,3.13,32,0.11,nd289,
nd291,"B02AA - Amino acids",114,1.94,30,0.1,nd290,
B02AA292,"EACA",45,0.77,7,0.02,nd291,http://sideeffects.embl.de/drugs/564
